latitude,longitude,e2008g_N,e2008g_n,p
40.2962,-74.6471,1,1,1
40.3068,-74.6471,2,1,0.5
40.329,-74.6471,3,2,0.666666667
40.3016,-74.647,1,1,1
40.307,-74.647,1,1,1
40.3071,-74.647,2,0,0
40.2513,-74.6469,1,0,0
40.2911,-74.6469,3,2,0.666666667
40.3011,-74.6469,2,1,0.5
40.3026,-74.6469,1,1,1
40.3056,-74.6469,1,1,1
40.3063,-74.6469,3,0,0
40.3064,-74.6469,2,1,0.5
40.3204,-74.6469,3,2,0.666666667
40.3021,-74.6468,2,2,1
40.3061,-74.6468,2,2,1
40.3062,-74.6468,1,1,1
40.3065,-74.6468,2,2,1
40.3072,-74.6468,3,2,0.666666667
40.2894,-74.6467,2,2,1
40.2895,-74.6467,2,1,0.5
40.2917,-74.6467,5,5,1
40.3017,-74.6467,1,0,0
40.3037,-74.6467,2,0,0
40.306,-74.6467,1,1,1
40.3066,-74.6467,2,2,1
40.2912,-74.6466,4,4,1
40.2916,-74.6466,1,0,0
40.2918,-74.6466,2,1,0.5
40.3022,-74.6466,2,2,1
40.3039,-74.6466,4,3,0.75
40.3057,-74.6466,1,1,1
40.3067,-74.6466,2,1,0.5
40.2512,-74.6465,1,0,0
40.284,-74.6465,2,2,1
40.2914,-74.6465,3,1,0.333333333
40.2917,-74.6465,3,3,1
40.2918,-74.6465,2,2,1
40.3072,-74.6465,1,1,1
40.2913,-74.6464,2,2,1
40.2914,-74.6464,1,1,1
40.2915,-74.6464,4,4,1
40.2916,-74.6464,1,0,0
40.3057,-74.6464,1,1,1
40.3061,-74.6464,2,2,1
40.2897,-74.6463,2,0,0
40.2914,-74.6463,2,0,0
40.2915,-74.6463,2,1,0.5
40.302,-74.6463,1,0,0
40.3024,-74.6463,2,2,1
40.3062,-74.6463,2,0,0
40.3066,-74.6463,4,3,0.75
40.2512,-74.6462,5,4,0.8
40.2914,-74.6462,2,2,1
40.3028,-74.6462,2,2,1
40.3057,-74.6462,2,2,1
40.3071,-74.6462,2,2,1
40.283,-74.6461,2,2,1
40.2896,-74.6461,5,3,0.6
40.303,-74.6461,2,2,1
40.3032,-74.6461,2,2,1
40.3035,-74.6461,2,0,0
40.3065,-74.6461,2,0,0
40.2857,-74.646,2,0,0
40.3037,-74.646,2,2,1
40.3039,-74.646,3,2,0.666666667
40.3058,-74.646,2,1,0.5
40.307,-74.646,3,0,0
40.291,-74.6459,5,1,0.2
40.3058,-74.6459,1,1,1
40.307,-74.6459,2,2,1
40.29,-74.6458,3,3,1
40.3014,-74.6458,2,0,0
40.3069,-74.6458,2,2,1
40.2865,-74.6457,4,4,1
40.3027,-74.6457,2,0,0
40.3032,-74.6457,3,1,0.333333333
40.306,-74.6457,2,1,0.5
40.3068,-74.6457,2,2,1
40.2908,-74.6456,2,2,1
40.3034,-74.6456,3,2,0.666666667
40.3036,-74.6456,2,2,1
40.3061,-74.6456,1,0,0
40.3068,-74.6456,2,2,1
40.2885,-74.6455,4,4,1
40.3039,-74.6455,1,0,0
40.2883,-74.6454,4,2,0.5
40.2885,-74.6454,6,2,0.333333333
40.29,-74.6453,4,3,0.75
40.2902,-74.6453,3,3,1
40.2902,-74.6452,2,2,1
40.3023,-74.6452,1,1,1
40.2831,-74.6451,4,3,0.75
40.2903,-74.6451,5,3,0.6
40.3025,-74.6451,2,2,1
40.3027,-74.6451,2,2,1
40.3066,-74.6451,2,0,0
40.3032,-74.645,2,2,1
40.3067,-74.645,1,0,0
40.3036,-74.6449,2,0,0
40.3039,-74.6449,1,1,1
40.3032,-74.6446,2,2,1
40.2514,-74.6445,4,2,0.5
40.3027,-74.6445,2,0,0
40.3034,-74.6445,2,1,0.5
40.3035,-74.6445,2,2,1
40.3026,-74.6442,2,1,0.5
40.3033,-74.6439,2,2,1
40.3036,-74.6439,1,1,1
40.2513,-74.6438,1,1,1
40.3037,-74.6438,3,3,1
40.3042,-74.6438,1,1,1
40.303,-74.6437,2,0,0
40.3102,-74.6437,1,0,0
40.3106,-74.6437,2,1,0.5
40.2515,-74.6436,1,0,0
40.3026,-74.6435,2,2,1
40.3033,-74.6435,2,1,0.5
40.3101,-74.6435,1,0,0
40.3106,-74.6435,2,0,0
40.2516,-74.6433,1,1,1
40.2877,-74.6432,3,2,0.666666667
40.2878,-74.6432,8,4,0.5
40.288,-74.6432,4,2,0.5
40.2977,-74.6432,3,2,0.666666667
40.3025,-74.6432,2,0,0
40.3104,-74.6432,1,1,1
40.288,-74.6431,2,2,1
40.2975,-74.6431,3,2,0.666666667
40.2977,-74.6431,4,3,0.75
40.2975,-74.643,5,3,0.6
40.3104,-74.643,1,0,0
40.3052,-74.6428,1,0,0
40.3103,-74.6428,1,0,0
40.3025,-74.6427,2,2,1
40.3052,-74.6427,1,1,1
40.3099,-74.6427,1,0,0
40.298,-74.6426,4,3,0.75
40.2603,-74.6425,2,2,1
40.2835,-74.6425,4,3,0.75
40.2836,-74.6425,5,4,0.8
40.2885,-74.6425,5,5,1
40.2886,-74.6425,5,2,0.4
40.2978,-74.6425,3,0,0
40.2979,-74.6425,4,4,1
40.3035,-74.6425,2,1,0.5
40.3051,-74.6425,1,0,0
40.3103,-74.6425,1,1,1
40.3105,-74.6425,2,1,0.5
40.3106,-74.6425,2,0,0
40.2835,-74.6424,8,8,1
40.2854,-74.6424,1,0,0
40.2856,-74.6424,2,2,1
40.2858,-74.6424,4,4,1
40.286,-74.6424,2,2,1
40.2885,-74.6424,6,5,0.833333333
40.298,-74.6424,2,0,0
40.3025,-74.6424,1,0,0
40.3051,-74.6424,2,2,1
40.3109,-74.6424,2,2,1
40.312,-74.6424,7,3,0.428571429
40.2835,-74.6423,1,1,1
40.2854,-74.6423,1,1,1
40.2856,-74.6423,2,0,0
40.2885,-74.6423,11,9,0.818181818
40.2886,-74.6423,3,2,0.666666667
40.2965,-74.6423,1,0,0
40.2966,-74.6423,10,7,0.7
40.2967,-74.6423,1,1,1
40.2968,-74.6423,7,4,0.571428571
40.3027,-74.6423,3,0,0
40.3099,-74.6423,2,0,0
40.2865,-74.6422,1,1,1
40.2884,-74.6422,3,3,1
40.2886,-74.6422,2,2,1
40.2968,-74.6422,11,7,0.636363636
40.297,-74.6422,2,2,1
40.3111,-74.6422,4,2,0.5
40.2966,-74.6421,6,6,1
40.2968,-74.6421,6,3,0.5
40.2969,-74.6421,3,2,0.666666667
40.297,-74.6421,3,1,0.333333333
40.2978,-74.6421,2,0,0
40.3051,-74.6421,2,2,1
40.2964,-74.642,18,7,0.388888889
40.2966,-74.642,3,3,1
40.3036,-74.642,3,2,0.666666667
40.3102,-74.642,2,1,0.5
40.3111,-74.642,1,1,1
40.2967,-74.6419,5,4,0.8
40.3029,-74.6419,2,0,0
40.3037,-74.6419,2,2,1
40.2837,-74.6418,4,2,0.5
40.2868,-74.6418,4,3,0.75
40.2966,-74.6418,2,1,0.5
40.2982,-74.6418,4,4,1
40.2984,-74.6418,17,8,0.470588235
40.2987,-74.6418,8,2,0.25
40.3031,-74.6418,2,0,0
40.3051,-74.6418,2,2,1
40.3112,-74.6418,2,2,1
40.3114,-74.6418,1,0,0
40.2967,-74.6417,7,5,0.714285714
40.2968,-74.6417,12,9,0.75
40.2982,-74.6417,4,2,0.5
40.2988,-74.6417,7,1,0.142857143
40.2884,-74.6416,3,3,1
40.2966,-74.6416,9,3,0.333333333
40.2967,-74.6416,2,0,0
40.2983,-74.6416,13,9,0.692307692
40.3032,-74.6416,2,0,0
40.3104,-74.6416,3,2,0.666666667
40.3106,-74.6416,2,0,0
40.2592,-74.6415,2,0,0
40.2869,-74.6415,3,2,0.666666667
40.2966,-74.6415,3,1,0.333333333
40.3033,-74.6415,2,2,1
40.3107,-74.6415,2,2,1
40.2868,-74.6414,3,2,0.666666667
40.2982,-74.6414,13,8,0.615384615
40.3048,-74.6414,3,3,1
40.3111,-74.6414,1,0,0
40.2983,-74.6413,10,7,0.7
40.2984,-74.6413,2,1,0.5
40.3041,-74.6413,2,2,1
40.3042,-74.6413,1,1,1
40.3045,-74.6413,1,1,1
40.3097,-74.6413,1,1,1
40.2967,-74.6412,2,0,0
40.2969,-74.6412,7,3,0.428571429
40.2975,-74.6412,8,5,0.625
40.2977,-74.6412,2,1,0.5
40.2979,-74.6412,5,3,0.6
40.2986,-74.6412,3,1,0.333333333
40.3035,-74.6412,1,1,1
40.3036,-74.6412,2,2,1
40.3046,-74.6412,2,2,1
40.3119,-74.6412,2,2,1
40.2588,-74.6411,2,1,0.5
40.2968,-74.6411,4,4,1
40.2972,-74.6411,5,0,0
40.2973,-74.6411,7,2,0.285714286
40.2974,-74.6411,13,4,0.307692308
40.2975,-74.6411,9,4,0.444444444
40.2986,-74.6411,4,2,0.5
40.3037,-74.6411,2,1,0.5
40.3097,-74.6411,1,0,0
40.3101,-74.6411,1,1,1
40.284,-74.641,2,0,0
40.2871,-74.641,2,1,0.5
40.2886,-74.641,3,3,1
40.2973,-74.641,9,7,0.777777778
40.2974,-74.641,8,4,0.5
40.2975,-74.641,6,4,0.666666667
40.2984,-74.641,2,2,1
40.3104,-74.641,2,2,1
40.3106,-74.641,2,1,0.5
40.3107,-74.641,2,0,0
40.2972,-74.6409,13,5,0.384615385
40.3111,-74.6409,2,2,1
40.2585,-74.6408,2,0,0
40.3038,-74.6408,2,2,1
40.304,-74.6408,2,1,0.5
40.3043,-74.6408,1,0,0
40.3047,-74.6408,2,2,1
40.31,-74.6408,2,0,0
40.3121,-74.6408,2,0,0
40.252,-74.6407,1,1,1
40.2852,-74.6407,2,2,1
40.2871,-74.6407,2,2,1
40.2987,-74.6407,5,2,0.4
40.3117,-74.6407,2,2,1
40.2583,-74.6406,2,2,1
40.2989,-74.6406,5,3,0.6
40.3103,-74.6406,2,2,1
40.3104,-74.6406,1,0,0
40.3106,-74.6406,2,2,1
40.3107,-74.6406,2,0,0
40.3122,-74.6406,2,2,1
40.2851,-74.6405,3,2,0.666666667
40.2852,-74.6405,5,4,0.8
40.2888,-74.6405,7,6,0.857142857
40.2987,-74.6405,12,9,0.75
40.2989,-74.6405,9,6,0.666666667
40.3047,-74.6405,5,3,0.6
40.3092,-74.6405,2,2,1
40.3097,-74.6405,2,0,0
40.3115,-74.6405,2,0,0
40.2521,-74.6404,2,0,0
40.2581,-74.6404,2,2,1
40.2872,-74.6404,3,3,1
40.2874,-74.6404,2,2,1
40.3043,-74.6404,3,2,0.666666667
40.3116,-74.6404,2,2,1
40.3118,-74.6404,2,2,1
40.258,-74.6403,2,2,1
40.3042,-74.6403,2,0,0
40.3047,-74.6403,3,0,0
40.3092,-74.6403,1,1,1
40.31,-74.6403,1,0,0
40.2851,-74.6402,7,6,0.857142857
40.3096,-74.6402,2,1,0.5
40.2578,-74.6401,1,0,0
40.2839,-74.6401,2,0,0
40.3091,-74.6401,2,0,0
40.3105,-74.6401,2,1,0.5
40.3107,-74.6401,2,2,1
40.2874,-74.64,2,2,1
40.3046,-74.64,1,1,1
40.3104,-74.64,2,2,1
40.311,-74.64,2,1,0.5
40.3111,-74.64,1,1,1
40.3113,-74.64,2,2,1
40.2576,-74.6399,1,1,1
40.289,-74.6399,2,2,1
40.3096,-74.6399,2,2,1
40.3114,-74.6399,2,0,0
40.3115,-74.6399,1,1,1
40.3117,-74.6399,3,3,1
40.2574,-74.6398,3,2,0.666666667
40.2875,-74.6398,2,2,1
40.3101,-74.6398,2,1,0.5
40.3121,-74.6398,1,0,0
40.285,-74.6397,3,2,0.666666667
40.31,-74.6397,1,0,0
40.3105,-74.6397,2,0,0
40.3106,-74.6397,2,2,1
40.3108,-74.6397,2,2,1
40.3109,-74.6397,2,2,1
40.3121,-74.6397,2,2,1
40.2523,-74.6396,3,2,0.666666667
40.2573,-74.6396,2,2,1
40.3046,-74.6396,2,1,0.5
40.3085,-74.6396,2,0,0
40.3087,-74.6396,2,2,1
40.3111,-74.6396,2,1,0.5
40.3112,-74.6396,2,2,1
40.3114,-74.6396,1,1,1
40.2851,-74.6395,3,2,0.666666667
40.309,-74.6395,1,0,0
40.3091,-74.6395,2,2,1
40.3095,-74.6395,2,2,1
40.3099,-74.6395,2,2,1
40.3103,-74.6395,2,1,0.5
40.3115,-74.6395,1,1,1
40.3117,-74.6395,3,0,0
40.2571,-74.6394,2,2,1
40.2891,-74.6394,5,4,0.8
40.3098,-74.6394,2,2,1
40.2569,-74.6393,1,1,1
40.2837,-74.6393,2,2,1
40.2857,-74.6393,4,3,0.75
