latitude,longitude,e2008g_N,e2008g_n,p
40.3302,-74.5511,3,2,0.666666667
40.3303,-74.5511,6,4,0.666666667
40.3304,-74.5511,2,2,1
40.3305,-74.5511,4,4,1
40.336,-74.5511,3,2,0.666666667
40.3361,-74.5511,2,2,1
40.3351,-74.551,3,3,1
40.3357,-74.551,2,2,1
40.33,-74.5509,3,2,0.666666667
40.3318,-74.5509,2,2,1
40.3358,-74.5509,4,2,0.5
40.3359,-74.5509,2,1,0.5
40.3352,-74.5508,4,3,0.75
40.3358,-74.5508,4,3,0.75
40.3359,-74.5508,8,7,0.875
40.3299,-74.5507,1,1,1
40.3301,-74.5507,2,2,1
40.3321,-74.5507,2,2,1
40.3349,-74.5507,2,0,0
40.3354,-74.5507,3,2,0.666666667
40.3358,-74.5507,3,3,1
40.3359,-74.5507,5,2,0.4
40.332,-74.5506,2,0,0
40.3322,-74.5506,1,0,0
40.3342,-74.5506,3,2,0.666666667
40.3343,-74.5506,6,6,1
40.3352,-74.5506,2,1,0.5
40.3353,-74.5506,2,2,1
40.3358,-74.5506,4,3,0.75
40.3359,-74.5506,2,2,1
40.336,-74.5506,1,0,0
40.33,-74.5505,1,1,1
40.3342,-74.5505,5,3,0.6
40.3343,-74.5505,8,6,0.75
40.3344,-74.5505,3,2,0.666666667
40.3349,-74.5505,2,2,1
40.336,-74.5505,1,1,1
40.3298,-74.5504,2,2,1
40.3325,-74.5504,2,1,0.5
40.3342,-74.5504,7,4,0.571428571
40.3344,-74.5504,4,2,0.5
40.3347,-74.5504,3,3,1
40.33,-74.5503,2,2,1
40.3328,-74.5503,2,2,1
40.3337,-74.5503,3,2,0.666666667
40.3339,-74.5503,3,2,0.666666667
40.3345,-74.5503,5,3,0.6
40.3297,-74.5502,2,2,1
40.333,-74.5502,3,2,0.666666667
40.3332,-74.5502,2,2,1
40.3299,-74.5501,2,1,0.5
40.3327,-74.5501,2,2,1
40.333,-74.5501,2,2,1
40.3336,-74.5501,1,1,1
40.3339,-74.5501,4,2,0.5
40.3331,-74.55,6,6,1
40.3332,-74.55,2,2,1
40.3296,-74.5499,4,4,1
40.3298,-74.5499,3,3,1
40.3317,-74.5499,2,2,1
40.3319,-74.5499,1,1,1
40.3331,-74.5499,6,5,0.833333333
40.3332,-74.5499,8,8,1
40.3331,-74.5498,5,2,0.4
40.3295,-74.5497,2,2,1
40.3297,-74.5497,2,2,1
40.3317,-74.5497,1,1,1
40.3331,-74.5497,1,1,1
40.3293,-74.5495,4,2,0.5
40.3295,-74.5495,4,4,1
40.3319,-74.5495,2,1,0.5
40.3317,-74.5494,2,1,0.5
40.3293,-74.5493,3,2,0.666666667
40.3317,-74.5492,2,2,1
40.3291,-74.5491,3,2,0.666666667
40.3318,-74.5491,2,1,0.5
40.3317,-74.549,3,1,0.333333333
40.3319,-74.5489,7,7,1
40.3319,-74.5487,4,3,0.75
40.3319,-74.5486,3,2,0.666666667
40.3288,-74.5485,2,2,1
40.3288,-74.5484,3,2,0.666666667
40.332,-74.5484,2,2,1
40.329,-74.5482,1,1,1
40.329,-74.5481,3,2,0.666666667
40.332,-74.5481,2,2,1
40.3291,-74.548,4,4,1
40.3293,-74.5479,2,2,1
40.3319,-74.5479,2,0,0
40.3293,-74.5478,15,12,0.8
40.3317,-74.5478,5,4,0.8
40.3294,-74.5477,4,1,0.25
40.3313,-74.5476,2,2,1
40.3315,-74.5476,2,1,0.5
40.331,-74.5475,2,0,0
40.3313,-74.5475,2,2,1
40.3295,-74.5474,2,1,0.5
40.3307,-74.5474,2,2,1
40.3297,-74.5472,2,2,1
40.3305,-74.5472,3,3,1
40.3303,-74.5471,4,4,1
40.3306,-74.5471,3,2,0.666666667
40.3298,-74.547,2,2,1
40.3299,-74.5469,3,3,1
40.3304,-74.5469,3,2,0.666666667
40.3301,-74.5468,3,2,0.666666667
